trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
276,2,2016-02-26,Credit,Credit in cash ,1100,1100.0,,,
279,2,2016-03-12,Credit,Electronic funds transfer,20236,21336.0,,Bank Creditas,66487163
280,2,2016-04-12,Credit,Electronic funds transfer,20236,45285.5,,Bank Creditas,66487163
281,2,2016-05-12,Credit,Electronic funds transfer,20236,54630.9,,Bank Creditas,66487163
282,2,2016-06-12,Credit,Electronic funds transfer,30354,67529.6,,Bank Creditas,66487163
283,2,2016-07-12,Credit,Electronic funds transfer,20236,62325.5,,Bank Creditas,66487163
284,2,2016-08-12,Credit,Electronic funds transfer,20236,49138.9,,Bank Creditas,66487163
285,2,2016-09-12,Credit,Electronic funds transfer,20236,39961.8,,Bank Creditas,66487163
286,2,2016-10-12,Credit,Electronic funds transfer,20236,30744.0,,Bank Creditas,66487163
287,2,2016-11-12,Credit,Electronic funds transfer,20236,40800.4,,Bank Creditas,66487163
288,2,2016-12-12,Credit,Electronic funds transfer,30354,47212.9,,Bank Creditas,66487163
355,2,2016-07-11,Withdrawal,Withdrawal in cash,3200,42089.5,,,0
356,2,2016-08-07,Withdrawal,Withdrawal in cash,2900,28902.9,,,0
357,2,2016-09-14,Withdrawal,Withdrawal in cash,3600,36361.8,,,0
358,2,2016-10-03,Withdrawal,Withdrawal in cash,4000,17774.0,,,0
359,2,2016-11-21,Withdrawal,Withdrawal in cash,3800,37000.4,,,0
360,2,2016-12-08,Withdrawal,Withdrawal in cash,3500,21058.9,,,0
428,2,2016-08-05,Withdrawal,Remittance to Another Bank,7266,31802.9,Household ,Fio bank ,13943797
429,2,2016-09-05,Withdrawal,Remittance to Another Bank,7266,19725.8,Household ,Fio bank ,13943797
430,2,2016-10-05,Withdrawal,Remittance to Another Bank,7266,10508.0,Household ,Fio bank ,13943797
431,2,2016-11-05,Withdrawal,Remittance to Another Bank,7266,20564.4,Household ,Fio bank ,13943797
432,2,2016-12-05,Withdrawal,Remittance to Another Bank,7266,24558.9,Household ,Fio bank ,13943797
493,2,2016-08-22,Withdrawal,Withdrawal in cash,21286,27852.9,,,
495,2,2016-12-21,Withdrawal,Withdrawal in cash,13396,30816.9,,,
497,2,2016-07-19,Withdrawal,Withdrawal in cash,13145,49180.5,,,
546,2,2016-12-10,Withdrawal,Withdrawal in cash,4200,16858.9,,,
590,2,2016-12-19,Withdrawal,Withdrawal in cash,3000,44212.9,,,
592,2,2016-09-26,Withdrawal,Withdrawal in cash,10200,21661.8,,,
632,2,2016-07-31,Withdrawal,Withdrawal in cash,15,39068.9,Payment on Statement,,
633,2,2016-08-31,Withdrawal,Withdrawal in cash,15,26991.8,Payment on Statement,,
634,2,2016-09-30,Withdrawal,Withdrawal in cash,15,21774.0,Payment on Statement,,
635,2,2016-10-31,Withdrawal,Withdrawal in cash,15,27830.4,Payment on Statement,,
636,2,2016-11-30,Withdrawal,Withdrawal in cash,15,31824.9,Payment on Statement,,
637,2,2016-12-31,Withdrawal,Withdrawal in cash,15,27840.6,Payment on Statement,,
697,2,2016-03-28,Credit,Credit in cash ,3700,25036.0,,,
698,2,2016-04-27,Withdrawal,Withdrawal in cash,11000,34285.5,,,
699,2,2016-05-27,Withdrawal,Withdrawal in cash,17600,37030.9,,,
700,2,2016-06-26,Withdrawal,Withdrawal in cash,22400,45129.6,,,
701,2,2016-07-26,Withdrawal,Withdrawal in cash,10300,38880.5,,,
702,2,2016-08-25,Withdrawal,Withdrawal in cash,1000,26852.9,,,
703,2,2016-09-24,Withdrawal,Withdrawal in cash,4500,31861.8,,,
704,2,2016-10-24,Withdrawal,Withdrawal in cash,3000,27744.0,,,
705,2,2016-11-23,Withdrawal,Withdrawal in cash,5300,31700.4,,,
706,2,2016-12-23,Withdrawal,Withdrawal in cash,3100,27716.9,,,
2176,9,2016-01-27,Credit,Credit in cash ,400,400.0,,,
2178,9,2016-04-26,Credit,Credit in cash ,14245,33804.4,,,
2190,9,2016-02-15,Credit,Credit in cash ,800,1200.0,,,
2191,9,2016-03-16,Credit,Credit in cash ,800,12905.4,,,
2192,9,2016-04-14,Credit,Credit in cash ,800,19559.4,,,
2193,9,2016-05-14,Credit,Credit in cash ,800,27889.0,,,
2194,9,2016-06-15,Credit,Credit in cash ,800,24384.6,,,
2195,9,2016-07-15,Credit,Credit in cash ,800,21956.4,,,
2196,9,2016-08-15,Credit,Credit in cash ,800,17078.9,,,
2197,9,2016-09-16,Credit,Credit in cash ,800,19237.6,,,
2198,9,2016-10-16,Credit,Credit in cash ,800,23704.1,,,
